Minisector,NOR,STR,Fastest
0,285.46700840749514,279.4016809534923,NOR
1,301.6161456875421,297.0270973659344,NOR
2,244.9159169211487,233.52108045206347,NOR
3,115.45057504045144,119.76315061967543,STR
4,133.67890977759498,133.32308515255613,NOR
5,252.1883924063492,248.46314213486554,NOR
6,255.29882364305624,257.7950464710524,STR
7,125.08584309850006,124.51684700311479,NOR
8,247.19938513720928,244.0933496176722,NOR
9,263.8730030015855,238.87284159036787,NOR
10,228.61843533964174,204.74344767938763,NOR
11,138.583409867183,147.14604077314846,STR
12,204.33840450113584,201.62881786181816,NOR
13,268.00155831914753,263.09157369397184,NOR
14,117.78571269214511,120.3163203791491,STR
15,188.70403948175087,191.3657782578243,STR
16,262.79619912079727,258.62490879536233,NOR
17,291.4794025991111,292.0536749482402,STR
18,304.1305407753005,309.5330109843485,STR
19,311.1918274077193,323.62197803276706,STR
20,312.52293348090427,332.3514880952381,STR
21,187.3929429334588,170.41021301017034,NOR
22,144.33539512123676,144.43780076151245,STR
23,209.754814233934,203.34567035147393,NOR
24,240.01577223987118,235.89324931239858,NOR
25,273.14444373333333,267.58888675555556,NOR
