Minisector,LEC,TSU,Fastest
0,292.17643759741173,289.7060003337143,LEC
1,304.6248637714286,300.1535234900585,LEC
2,312.6420571168337,306.5166665955556,LEC
3,313.7673808457143,309.6464223472278,LEC
4,197.49731491111817,191.2885866458413,LEC
5,220.45377277573192,217.5772486725544,LEC
6,267.92400184128337,266.5046594448254,LEC
7,263.50723185497077,254.7996213708309,LEC
8,194.3428380233745,191.6088775471921,LEC
9,146.68815414383542,145.32778963593537,LEC
10,177.32561975876095,180.97050840067735,TSU
11,261.928453430303,264.0389545597929,TSU
12,249.53036949840157,244.85393395824917,LEC
13,233.5087205231746,226.62594769416899,LEC
14,273.2553551743823,264.8090810845781,LEC
15,163.83554680517832,167.7228582193696,TSU
16,218.17952387047617,231.5887634727619,TSU
17,234.81248865876748,245.52649106331893,TSU
18,131.0599266713173,131.11928996055653,TSU
19,243.97744793476585,244.4447810996529,TSU
20,285.08333730844447,284.7784135923809,LEC
21,239.27020823390475,241.1513419522244,TSU
22,140.9880694827602,138.52724972364507,LEC
23,213.30291847619048,211.8088944794903,LEC
24,269.08541409740235,268.6996483857571,LEC
25,283.0,,LEC
