Minisector,RUS,GAS,Fastest
0,252.93487339094725,246.8248190698811,RUS
1,212.15093334739927,201.5356207934667,RUS
2,205.63738735912833,210.04070997396636,GAS
3,260.4435881762963,257.97015723591835,RUS
4,277.0818237705544,272.4717216465426,RUS
5,293.5728563603689,285.36654249650894,RUS
6,144.69067538705139,156.01555341153215,GAS
7,184.83202445409813,187.3911191156989,GAS
8,269.9447674404431,265.7486796962623,RUS
9,296.3207416222671,293.52280279757576,RUS
10,309.79682553416933,304.43949073382714,RUS
11,307.14174030239604,300.3884519430413,RUS
12,103.79950480073958,107.50229081550766,GAS
13,205.15852257568918,198.9977865529064,RUS
14,273.16703636012835,268.55093651692135,RUS
15,296.0422190178685,292.07412488101585,RUS
16,293.8231641005614,283.52705478797265,RUS
17,181.2574252994163,179.91945422789917,RUS
18,223.84374476894757,228.14770315912486,GAS
19,271.27336959789193,262.48004914628575,RUS
20,137.14374772474122,136.5345935287874,RUS
21,146.5597546466359,146.6484365936183,GAS
22,230.25650420121212,224.35530021925925,RUS
23,247.49690595258886,208.65152258101807,RUS
24,168.10630866965175,160.0085811346405,RUS
25,228.62857325714288,,RUS
