Minisector,PIA,BEA,Fastest
0,289.47723614907164,285.80208282190875,PIA
1,308.0995516750849,302.7630786074074,PIA
2,312.6571850454257,299.68981749617404,PIA
3,198.34996541334158,196.88408470767507,PIA
4,237.72142249362074,232.93709493216116,PIA
5,224.14417080200718,222.64042967836735,PIA
6,206.57630466031745,212.69444267354837,BEA
7,235.06587472544172,230.5924222625185,PIA
8,272.53072966724386,265.04634050556473,PIA
9,275.75239845971606,263.6979686305419,PIA
10,173.70016285467787,174.05469140656086,BEA
11,240.13568168766963,237.02879969956427,PIA
12,116.8326461292658,118.24645821049809,BEA
13,226.05191786385095,222.91310557206552,PIA
14,279.31322424110243,277.38613226099557,PIA
15,295.77067136296296,285.88418350994283,PIA
16,216.56086385686285,214.24281057873984,PIA
17,190.34005029492735,187.92058366046533,PIA
18,269.42482806012123,268.1163074985538,PIA
19,296.18538760524507,291.38585735945577,PIA
20,308.0092924609529,301.3384179720977,PIA
21,307.9370623077469,301.73211231122656,PIA
22,282.2056207714091,269.2601768969453,PIA
23,116.95397142314462,123.80205590043035,BEA
24,243.3566529955267,245.53757248223778,BEA
25,276.0324589385367,273.2124992,PIA
