Minisector,KVY,SAI,Fastest
0,257.7186759351502,260.0499539909452,SAI
1,202.58770659816565,198.1130091696778,KVY
2,221.81487770268652,225.27210098984767,SAI
3,261.24125378245515,265.0455343001728,SAI
4,272.37771747246376,279.76855399750025,SAI
5,219.45794024580613,208.53966381378476,KVY
6,95.60715776108266,96.42133537789331,SAI
7,189.95954927963052,197.89852144580115,SAI
8,272.64418381583494,283.58607282734806,SAI
9,296.06671323432965,315.61129241951386,SAI
10,304.4739073475889,328.5763977698772,SAI
11,299.57622352860903,312.1238447679049,SAI
12,112.37485835975592,109.98027593489068,KVY
13,216.61283299186564,227.1658311122588,SAI
14,279.234336046947,282.3564578479769,SAI
15,299.7189702312942,298.1588557575109,KVY
16,227.91933958979567,209.71991144634995,KVY
17,124.62126930157102,123.74750293273327,KVY
18,148.76377160414214,158.68502864364117,SAI
19,253.84820892861882,255.72558507629034,SAI
20,156.9897609903445,151.9100969663737,KVY
21,125.2496718708242,127.17520902993839,SAI
22,198.80319024468636,208.07721636442042,SAI
23,198.7262893170032,194.80485132479532,KVY
24,160.90109779749227,165.57170816169727,SAI
