Minisector,RAI,BOT,Fastest
0,277.2045580603281,274.77508282457035,RAI
1,294.53183153470513,293.4104400935685,RAI
2,294.36285331833363,287.6460960388357,RAI
3,179.71183566920502,173.66750620468065,RAI
4,119.94189448073466,118.82355857435402,RAI
5,238.8963273119702,235.2065338454709,RAI
6,283.7657671776743,282.5497837503962,RAI
7,297.8082211962497,296.60636226405006,RAI
8,169.57514548249972,163.97354476052706,RAI
9,136.97699393821088,143.4045162600025,BOT
10,252.70012104738007,252.55567076770944,RAI
11,289.3753323577253,286.78120648296147,RAI
12,302.1140916201771,295.9152726194697,RAI
13,283.65123246304887,281.0638116617328,RAI
14,302.1896693987062,298.6920144477172,RAI
15,305.7066790202212,297.56984431335275,RAI
16,252.36918202888305,245.10706803945143,RAI
17,218.3110356800671,227.59696648375217,BOT
18,282.9621309333183,280.2253506360146,RAI
19,311.16469048399887,301.0846556377793,RAI
20,319.3042039458825,299.4820674668847,RAI
21,232.50989237901604,228.8378803994828,RAI
22,262.22683597547604,257.83031228506957,RAI
23,139.16612976642836,133.06765888655522,RAI
24,209.39129031197567,218.951242333865,BOT
25,256.7666645333333,,RAI
