Minisector,NOR,BOT,Fastest
0,321.76982399337476,324.40905905573317,BOT
1,329.0450757575758,334.0350906702948,BOT
2,322.90634059130434,338.95286260819046,BOT
3,187.1632206075188,195.65465248721804,BOT
4,120.30816175625503,119.77416659555556,NOR
5,265.18589810512447,267.09196019293654,BOT
6,300.7266865079365,305.58194444444445,BOT
7,309.9640624888889,321.93636368484846,BOT
8,275.35833333333335,285.84883560874437,BOT
9,144.40341385994196,139.99798178371816,NOR
10,219.9011581766121,230.41036123809525,BOT
11,216.92765151515152,211.0593656452717,NOR
12,200.29494914097754,199.09718724431016,NOR
13,270.1226631393298,269.82500004102565,NOR
14,305.53200756746975,311.3213938434225,BOT
15,314.3101449275362,330.1386963506128,BOT
16,264.314258344979,277.5307040504437,BOT
17,208.92023809523812,194.1891596220065,NOR
18,274.33126237143557,266.3172572927342,NOR
19,306.99528985507243,306.85302950210604,NOR
20,320.06439393939394,324.92424242424244,BOT
21,305.663307756548,323.1126500227484,BOT
22,210.84791670588237,208.33839787935037,NOR
23,265.47324109050794,263.59219381210136,NOR
24,303.69233326933335,304.6931006337663,BOT
25,,319.0680551111111,BOT
