Minisector,RUS,OCO,Fastest
0,296.8299523356914,293.4976958324562,RUS
1,305.3689275140773,303.01193565545225,RUS
2,289.29620567741927,284.3489846462574,RUS
3,109.33598616360315,109.14126076672729,RUS
4,234.4234478379149,221.29610763530732,RUS
5,278.69652500116877,273.0929154149083,RUS
6,190.9139797058782,206.94773169351768,OCO
7,164.79157016889536,154.239874355785,RUS
8,198.86040124285032,201.48129957590996,OCO
9,208.17780702312925,206.63940437225912,RUS
10,123.22095708558824,112.02027926178344,RUS
11,232.11498031705406,222.03438243057064,RUS
12,114.81526393010333,116.8505006018197,OCO
13,225.40718107238095,211.89497670022678,RUS
14,282.00820516087003,275.54958679353535,RUS
15,203.32858975632183,226.61379040249167,OCO
16,195.75788713521968,171.91670896,RUS
17,241.76213122452106,246.68809239965367,OCO
18,189.45694721733832,211.158553360525,OCO
19,192.6412152667858,161.49209124308047,RUS
20,267.2674514055032,258.26456735187304,RUS
21,294.50057079920634,290.2253321392615,RUS
22,174.1948901128319,185.245673308417,OCO
23,217.79843376229272,189.03175451173064,RUS
24,274.3854369567347,270.7127539256461,RUS
25,287.0333340444444,292.20203088,OCO
