Minisector,ALO,ANT,Fastest
0,264.0330026903704,270.11808700739044,ANT
1,282.5936861405195,288.2040345099112,ANT
2,289.013902846675,295.68827050047616,ANT
3,134.15025109152594,124.95537167786398,ALO
4,194.4180983287664,192.8022843710446,ALO
5,253.65201202008436,257.87685892789113,ANT
6,139.32340720256002,146.08076656186938,ANT
7,204.8222648353347,201.38214019417256,ALO
8,257.0956246156211,255.25841576114286,ALO
9,277.81482832941174,279.6544335759626,ANT
10,242.3605678335194,236.47911455560697,ALO
11,192.7238223255599,183.49946373790775,ALO
12,188.6400562919472,189.9055423360593,ANT
13,142.28764931399462,142.47023906835977,ANT
14,179.27813606672183,173.0015454784699,ALO
15,164.79274334733432,160.82859864407098,ALO
16,215.64496237805807,215.68714461758105,ANT
17,240.64707288126985,237.7643436269022,ALO
18,244.85062052836437,240.35575773825292,ALO
19,239.20091211626146,235.945846248823,ALO
20,145.8851399306034,144.31446162027268,ALO
21,139.277371060262,136.6418582115852,ALO
22,169.17352995434032,163.82885724860063,ALO
23,150.18786787433808,151.49364332563331,ANT
24,228.70160983000483,227.208188190259,ALO
25,252.04167040000002,256.5555545880579,ANT
