Minisector,OCO,GAS,Fastest
0,291.220987705679,294.08921079780663,GAS
1,233.42569867543267,234.41540364811286,GAS
2,128.54897235392937,132.15835970696827,GAS
3,230.7899152647288,237.62605079034628,GAS
4,191.66925960097961,182.67757015896973,OCO
5,244.97104344137298,235.1677275081204,OCO
6,229.26293631238096,221.72988086830944,OCO
7,248.68036600247345,244.6228171238095,OCO
8,277.7773001034432,281.39508684384,GAS
9,214.0060055629118,206.88509996396397,OCO
10,204.4980911439557,196.31486035151795,OCO
11,264.83078652896967,266.65530739149204,GAS
12,208.10815484498318,207.74923878308243,OCO
13,245.8614412400657,243.4005636569677,OCO
14,288.49471326152513,285.2099234830688,OCO
15,299.2383171780117,300.439180411993,GAS
16,294.7040002348052,302.72934986666667,GAS
17,233.5232475549912,232.9070953471243,OCO
18,264.566935851678,263.8101679865201,OCO
19,291.13400913049,291.1535363441795,GAS
20,302.601204416273,304.4185231220897,GAS
21,298.9510144941991,305.1056953047895,GAS
22,149.31850356975679,151.69987411324828,GAS
23,229.88560178779562,227.4393354687472,OCO
24,277.86378633227514,278.03523718962964,GAS
25,288.16875039999996,287.8937504,OCO
