Minisector,RIC,ALB,Fastest
0,273.6000373688889,273.95173923942593,ALB
1,298.2659493252873,300.2049406552381,ALB
2,311.1314359399495,311.7335523646825,ALB
3,318.82119429238094,319.3948426505322,ALB
4,323.4726191537415,324.8205807397888,ALB
5,325.76244805333334,327.7874074074074,ALB
6,198.6479463061771,199.84091139513228,ALB
7,102.68666083712601,104.79811301648996,ALB
8,187.53027784682033,184.8191260892782,RIC
9,263.53972019292945,262.1291082459474,RIC
10,291.06604431939394,290.3679394899911,RIC
11,157.58975622675442,144.33457353385035,RIC
12,94.03969025692119,96.49398898338673,ALB
13,115.36747173190398,113.52435635639813,RIC
14,216.7554008927222,207.90549862635865,RIC
15,187.92355277493238,183.93274616795455,RIC
16,219.31641094327574,214.4894691795671,RIC
17,173.1077493756916,166.47482702498166,RIC
18,232.63319646943842,247.3221694737415,ALB
19,276.92845564,278.9305723647138,ALB
20,241.09512679183783,232.14864238931213,RIC
21,142.05323892399932,142.03488203640563,RIC
22,92.58423525138754,94.20638702133645,ALB
23,121.71890986485002,124.46358305224196,ALB
24,223.8334670238384,226.15326279356708,ALB
