Minisector,HAM,PIA,Fastest
0,274.6763037028572,276.69786805333337,PIA
1,295.2326100296296,297.9681693881097,PIA
2,294.4852819516049,298.8135861312253,PIA
3,177.2598541484884,174.37441925358956,HAM
4,121.26536237510452,118.94723244166845,HAM
5,234.36102456752135,239.79889604941724,PIA
6,279.6079396292063,282.8595837872558,PIA
7,293.7339628372671,297.05753953939393,PIA
8,185.33997941528693,182.4333275907247,HAM
9,147.79774757845888,144.7187463493283,HAM
10,252.30249139301588,255.2849998206061,PIA
11,287.5199305948874,291.1423351209975,PIA
12,298.9414352273593,305.1365252593513,PIA
13,285.6477290850088,290.33402459447007,PIA
14,296.3319230615708,298.9018195453291,PIA
15,296.8067783730388,301.8586856892952,PIA
16,259.201978644653,266.0223232747401,PIA
17,235.38953092856192,240.18283579936508,PIA
18,277.8938656096066,281.64933515948076,PIA
19,297.5009246909025,300.9000642225245,PIA
20,302.8183914300047,307.93000039921884,PIA
21,244.17875941098902,252.35149865306124,PIA
22,264.68307461172657,269.02474282361555,PIA
23,146.1394642134376,136.01585701019926,HAM
24,216.72545856067225,222.31120756300527,PIA
