Minisector,LEC,ANT,Fastest
0,269.6220767314286,273.4786217267829,ANT
1,298.4594295755032,302.012378851498,ANT
2,312.6190903727891,316.5884418521212,ANT
3,321.15029179580955,324.9517003319728,ANT
4,324.9005005244435,328.81039180317464,ANT
5,324.3513323660151,330.71730983009525,ANT
6,208.27471053510692,206.19802765780537,LEC
7,108.38477089022898,109.7962261818504,ANT
8,179.7937712417112,192.71669879911897,ANT
9,258.67246358919397,263.2021477017445,ANT
10,288.5097391507003,290.10800562614384,ANT
11,161.83063454636394,160.2449609300066,LEC
12,96.30327085932544,94.82655637484356,LEC
13,110.08722144267053,116.86703674563708,ANT
14,221.2473834752532,219.49059242622832,LEC
15,185.34776656644686,189.77487216502047,ANT
16,225.22781426937044,223.75044230095236,LEC
17,177.63993181704518,182.10495995733334,ANT
18,227.98628662932066,229.95922923438698,ANT
19,276.66796394052403,277.33924696052287,ANT
20,258.8334298129323,248.30338498813984,LEC
21,147.96111690715824,148.07165195421973,ANT
22,95.07138157296761,95.49570836336247,ANT
23,121.73475718036158,121.57181121597253,LEC
24,222.1569148695238,219.23888090689755,LEC
25,,255.76249760000002,ANT
