Minisector,BOT,PER,Fastest
0,304.6892214167775,288.82853308071583,BOT
1,321.7398180651629,298.241165593985,BOT
2,327.13949578039217,303.90124997333334,BOT
3,324.0276323368421,304.4677628631579,BOT
4,182.04980883254345,186.168700079291,PER
5,217.0336450652608,215.18218406672534,BOT
6,245.64492716521738,237.50316706133333,BOT
7,266.9094424588745,264.5422437955157,BOT
8,258.73505036179887,267.43945745573535,PER
9,167.72607693672762,172.85725379060722,PER
10,230.1712004935649,235.01650374266003,PER
11,133.5988322561588,141.41633685973773,PER
12,228.75623780115063,228.2172845661858,BOT
13,194.49589157357912,209.33330295827957,PER
14,226.39569960664406,214.03091673218677,BOT
15,249.90362342028988,250.74252096397515,PER
16,264.697050569697,263.44441513007166,BOT
17,283.97515839069723,283.9804822071018,PER
18,164.0304239742945,189.27587322162077,PER
19,176.28992630101754,164.14164437517786,BOT
20,148.02898557853348,147.64001820278747,BOT
21,174.98306425869657,179.05322912051054,PER
22,116.86262608554172,120.04271898619221,PER
23,223.9575106367617,214.35481859776553,BOT
24,270.9005678060606,266.74955058260934,BOT
25,284.44166613333334,282.10208266666666,BOT
