Minisector,RUS,STR,Fastest
0,288.7094958185941,290.46477019083926,STR
1,297.5340441411765,298.74204541090904,STR
2,301.03729949946523,303.4564979326984,STR
3,298.78508719157895,295.1833035009702,RUS
4,167.86085449335303,159.91549311731137,RUS
5,207.72601959866347,208.62309530257863,STR
6,227.45609723555555,236.63583284977776,STR
7,259.97889637434264,262.24208301087947,STR
8,255.72731292721204,247.25906100538037,RUS
9,162.32742247823617,157.21354401391758,RUS
10,224.3441312952053,224.11091690946913,RUS
11,134.1859757373189,125.34333884937386,RUS
12,226.65081925315582,224.0210658725898,RUS
13,183.1548811310451,171.7236897582631,RUS
14,216.4093277822465,216.6477477179209,STR
15,230.02200490143338,238.0077886002886,STR
16,254.21227205756435,259.5032271688699,STR
17,279.27628251877724,281.6643938946786,STR
18,155.0580302020235,149.80381819864965,RUS
19,166.88518593976767,160.0482610681841,RUS
20,141.4121574704357,138.07470453341415,RUS
21,221.71867680984124,226.68371616177504,STR
22,255.58669471200793,261.4438181108803,STR
23,243.5028195812197,250.26330876795163,STR
24,268.05269185994047,273.4270354759932,STR
25,280.7928576,,RUS
