Minisector,PIA,PER,Fastest
0,301.2524158813096,298.4795303957672,PIA
1,199.62330036145858,218.18214749308407,PER
2,236.03623348053333,227.50144571213676,PIA
3,279.9132611963709,275.3559981000448,PIA
4,238.31397577885224,246.15785197333332,PER
5,129.66536719063325,125.67737379885133,PIA
6,223.15131240551764,206.13765629855376,PIA
7,268.9375859063102,263.33411162630387,PIA
8,252.5363116856543,259.5462835966942,PER
9,250.1593874609072,241.84128330250977,PIA
10,280.17433708259745,278.8856912,PIA
11,295.01169942689495,297.57052596611527,PER
12,305.02270921625393,306.36001017866664,PER
13,309.6212120242424,310.27026934536343,PER
14,308.41293866666666,308.4222726165375,PER
15,270.678614040381,275.30627092857145,PER
16,253.32322842080785,245.22755361893311,PIA
17,283.46486187247166,280.27408487619044,PIA
18,294.40463902056825,289.88211394875066,PIA
19,155.3005154443908,160.73926905469173,PER
20,213.57391159586493,204.2464953354516,PIA
21,188.24514302205293,199.19986466746775,PER
22,138.31533166975507,134.61953899361234,PIA
23,238.12001956234218,235.06180442080657,PIA
24,284.21977788011844,283.17846694493625,PIA
25,,295.535416,PER
