Minisector,RUS,OCO,Fastest
0,278.02680203290043,280.333519874188,OCO
1,295.19748503279527,300.0669715779381,OCO
2,289.3108656278021,296.80416169281386,OCO
3,174.3019174037694,171.97143220517864,RUS
4,206.3693723213708,208.46527456609525,OCO
5,189.57093236061957,197.83975069421558,OCO
6,168.8527140992386,170.81243078629637,OCO
7,195.52300764767458,194.57314603413633,RUS
8,246.59507312306985,248.8940306727202,OCO
9,260.20811612854806,256.2926704499471,RUS
10,170.2924014142477,161.48781017932467,RUS
11,225.28269324518135,229.25276182474994,OCO
12,110.27266243215136,109.5139834370943,RUS
13,208.36032142665672,217.76761134319352,OCO
14,270.2987221936041,274.1835156305589,OCO
15,288.04589216205943,289.35559255188406,OCO
16,212.8931723124301,206.5775879467813,RUS
17,178.65589275402758,173.25346716852792,RUS
18,262.57237158764474,261.6898408271551,RUS
19,288.393114170818,290.64214233071505,OCO
20,300.3128292360784,303.8726983212698,OCO
21,297.2564956145946,305.75611659590186,OCO
22,265.4915019288585,272.73661953238206,OCO
23,114.90054183007102,112.35381143252746,RUS
24,229.58206894721775,229.04588386072754,RUS
25,,264.5812512,OCO
