Minisector,SAI,ALO,Fastest
0,299.1504408324208,288.5462654352111,SAI
1,310.7836472049696,297.72595893045155,SAI
2,160.47183679360387,161.80800101966133,ALO
3,216.73517618286732,217.45543348213405,ALO
4,274.07521903157897,267.9007913439821,SAI
5,298.2727580023236,288.73223161200855,SAI
6,311.714625960215,295.7694762423072,SAI
7,179.87085297142858,173.25968851723144,SAI
8,118.65137499802286,122.07698981073605,ALO
9,249.95456365714284,245.31444735373336,SAI
10,293.9494815904435,279.44748024473256,SAI
11,311.2895828740741,292.1644737684211,SAI
12,142.40142882169678,147.67448137872762,ALO
13,188.07334164353742,184.28717964680715,SAI
14,255.38985456279656,253.1458333090909,SAI
15,204.78466963646227,198.6489764914441,SAI
16,214.3024977989871,204.5517578425343,SAI
17,216.6765591505743,206.44920314120213,SAI
18,240.32047100289856,236.41218734597368,SAI
19,271.35341488120304,272.11437477333334,ALO
20,287.881071734996,289.91362211037375,ALO
21,266.37604513595613,257.5135599048153,SAI
22,228.17798941524,221.8083859510934,SAI
23,201.0748395076923,201.35051673757178,ALO
24,259.93002232263956,259.6999999854875,SAI
25,277.9833344,,SAI
