Minisector,BOT,VET,Fastest
0,305.5235414933333,299.91865344799584,BOT
1,309.7713815578947,304.20764771076546,BOT
2,310.109649122807,303.8767553122807,BOT
3,226.341691136,218.16028447719162,BOT
4,229.50927383199198,225.46402591695238,BOT
5,121.1557552779002,121.2351702800306,VET
6,231.46180436825398,226.85644479114336,BOT
7,270.2528352176595,268.67757030951947,BOT
8,218.98170552098765,223.93793352478633,VET
9,122.93926200802584,121.39181007090272,BOT
10,243.86076080152378,240.32756523387658,BOT
11,255.1627735396206,250.5207622678261,BOT
12,135.86567530158732,134.8977665066628,BOT
13,226.29804617922537,219.9988262846271,BOT
14,270.90583296,267.05416604444446,BOT
15,228.58498723315455,223.36150282694277,BOT
16,171.84278108465926,167.39986966502144,BOT
17,247.05632299880392,245.40639390347934,BOT
18,122.51542347407407,124.65736614996895,VET
19,143.3896830837886,144.93885936288703,VET
20,209.03582438249865,194.94752190418836,BOT
21,263.8333325575758,253.24076484267883,BOT
22,280.94186493968255,272.90798075334834,BOT
23,289.5739526491018,282.61952958556395,BOT
24,298.69824532210527,292.55209335124704,BOT
25,,298.4083328,VET
