Minisector,HAM,BEA,Fastest
0,252.37132080529685,248.33499344511503,HAM
1,288.08414703238094,284.737499952,HAM
2,181.29675380743498,163.11658635676338,HAM
3,155.00061157803174,155.60030850584695,BEA
4,256.3872006399782,254.16620999346995,HAM
5,276.0830705430303,269.245641420951,HAM
6,242.95835390085674,235.88483028223143,HAM
7,212.85091726575962,200.57628596899573,HAM
8,154.4203134119472,161.44569326037623,BEA
9,218.13142598463352,216.59280357529445,HAM
10,272.92857509356423,269.4970158706842,HAM
11,127.17181453113196,122.72758096396062,HAM
12,211.01221357219035,216.0953551331482,BEA
13,276.43514438655075,277.1513415248198,BEA
14,298.3856169196505,304.8712175511203,BEA
15,307.1550672650472,319.23715535772766,BEA
16,238.37138613228157,215.28897265786023,HAM
17,128.2908261153879,128.80659312613912,BEA
18,128.70370035502566,130.65016540388007,BEA
19,118.49131602748021,120.26088944346361,BEA
20,227.91446960761903,221.0472561963273,HAM
21,260.5867714052003,256.8570668394198,HAM
22,247.38339456234146,233.09160144365134,HAM
23,222.67968173478457,211.58132044638495,HAM
24,136.09421594965784,137.70071970841585,BEA
25,218.38333333333333,,HAM
