Minisector,VER,ALO,Fastest
0,301.48541701333335,288.10133203706437,VER
1,313.3593136313725,297.68562787875976,VER
2,167.68039756444836,161.80800101966133,VER
3,220.42409039963945,217.45543348213405,VER
4,276.60148574969196,267.9007913439821,VER
5,299.7807020350877,288.73223161200855,VER
6,311.8822200245542,295.98935176296294,VER
7,185.74225458365117,180.09755466943466,VER
8,124.03404157020553,118.89231872439464,VER
9,245.7579182107342,243.91492911222417,VER
10,280.55375029333334,279.44748024473256,VER
11,291.51269366602594,292.1644737684211,ALO
12,154.34684584195625,148.42244033490945,VER
13,190.27949240434143,180.36649006519798,VER
14,257.59781785396825,251.85946957575754,VER
15,204.23243360005702,202.01934686181448,VER
16,212.77358203608222,203.30910014466266,VER
17,211.5725933425359,206.54340326201762,VER
18,240.43376522221897,234.02088299814758,VER
19,276.13092115087716,270.90062485333334,VER
20,292.29946762105266,289.5252448472158,VER
21,262.28644589914444,260.69629793656134,VER
22,222.21014432463767,224.76411718794452,ALO
23,202.8290743637752,197.843263759794,VER
24,269.45145872,255.7706349569161,VER
25,,275.95000000000005,ALO
