Minisector,SAI,STR,Fastest
0,276.9403792970472,276.24189986938774,SAI
1,300.31076386666666,298.5210548733654,SAI
2,295.89553530828715,289.9912143908571,SAI
3,175.81112954240427,177.51160070889938,STR
4,113.84807860394929,115.40226316130624,STR
5,234.31559084731182,234.27446110967742,SAI
6,289.08683296426665,283.0934466472836,SAI
7,301.2431671466667,292.23516727466665,SAI
8,175.06014397483025,170.67438756039277,SAI
9,138.8310243982274,138.0995390362761,SAI
10,249.73045936551725,247.9287344183908,SAI
11,290.5079259707593,289.6902699999169,SAI
12,303.36922148571426,302.2971668906667,SAI
13,281.070476135619,272.9121452882649,SAI
14,300.5850096555176,292.4165919428571,SAI
15,300.7244547936508,299.9645351411587,SAI
16,241.19715435651062,249.24521884269294,STR
17,221.7089838,210.14767981462012,SAI
18,280.98706665605465,274.1947525135802,SAI
19,308.9432041714286,298.7979962001941,SAI
20,312.65172074314955,297.30835902263385,SAI
21,222.79781758614718,226.49119470958638,STR
22,255.92591562110186,250.14852760664243,SAI
23,130.92743223050996,135.106687902063,STR
24,211.14733332130504,206.33112155146782,SAI
25,257.8875008,258.0166656,STR
