Minisector,RIC,ALO,Fastest
0,274.0464236574194,273.1720196176532,RIC
1,243.91931966795778,233.65776018919178,RIC
2,122.37714873423249,119.85505748460132,RIC
3,191.23985575251052,190.7453597838497,RIC
4,187.87697442162946,185.2807028687442,RIC
5,215.5578167423339,216.03143283977792,ALO
6,274.50179817619903,271.4082646437665,RIC
7,293.35044523544474,286.78609023580026,RIC
8,190.0471260808268,189.4810245950227,RIC
9,137.4818302249673,135.1773368077034,RIC
10,133.5099059965202,138.52384680235707,ALO
11,189.51777129925512,190.68766228916616,ALO
12,232.52524736296263,228.72467278739305,RIC
13,138.45336707847963,138.28532375812404,RIC
14,160.7561178766243,163.97225180145048,ALO
15,122.05501712399222,122.58762241898927,ALO
16,253.35842856238222,250.48835715258022,RIC
17,150.41294935468858,149.5079763192505,RIC
18,198.95444096745396,195.41350143459172,RIC
19,140.747004734761,142.72591313721566,ALO
20,157.8135436885444,151.8842945269321,RIC
21,124.86569493737623,129.3827790793278,ALO
22,143.5006888419208,145.3983766051073,ALO
23,223.25346726394372,223.18632912677057,RIC
24,223.1949009192111,237.86092228009002,ALO
25,257.9353249545313,,RIC
