Minisector,SAI,VET,Fastest
0,309.56520783999997,285.98287966621314,SAI
1,325.7929809797013,294.2249736412247,SAI
2,336.31851350059657,297.66080945630154,SAI
3,327.82754755555555,296.37837302857145,SAI
4,160.64274431958077,171.41332606507953,VET
5,205.81914510710132,211.62023760000002,VET
6,233.56583330133333,235.26608630508338,VET
7,267.26963753342767,263.2379054614719,SAI
8,256.7953560231579,256.4269397995859,SAI
9,163.59678593764707,160.78905109843512,SAI
10,227.99133450149716,229.34968239652028,VET
11,132.72578740897458,136.86917146589664,VET
12,230.11666666666667,224.50645992173452,SAI
13,188.31919483297335,194.1703936032382,VET
14,217.97968944721694,208.42747917850684,SAI
15,244.82639328523496,236.34288222222222,SAI
16,264.1287628624176,253.56329750616152,SAI
17,287.4134920634921,279.2831663764012,SAI
18,122.95926325039308,135.91380852520828,VET
19,158.701844993458,157.21100520194037,SAI
20,144.81756451337577,141.27822383848266,SAI
21,159.97545754893693,163.25482343192488,VET
22,113.868299000538,112.2302785339923,SAI
23,228.0657647751307,219.9965903189269,SAI
24,271.6903971283159,264.2485218663608,SAI
25,,278.63571382857145,VET
