Minisector,SAI,OCO,Fastest
0,297.76874908748664,293.47519429549317,SAI
1,307.54828285537866,300.48229376822485,SAI
2,221.8678906793651,215.99428390060604,SAI
3,136.11928269751587,134.10774652810426,SAI
4,220.35105420650038,218.1104524299408,SAI
5,164.29254503371453,167.46455000141995,OCO
6,168.85936616869353,164.0666059779123,SAI
7,252.34169835677017,245.88549309495875,SAI
8,280.67754897568625,275.0585727345658,SAI
9,291.1262254745098,283.99081840761903,SAI
10,254.7315559817101,267.6617923785894,OCO
11,237.60279589239767,245.79212301714287,OCO
12,239.09816131468912,246.84417636601307,OCO
13,207.72662845575758,205.43924815852958,SAI
14,128.94393759134942,133.22559653970507,OCO
15,140.60400132733045,138.00676096288484,SAI
16,167.74842854721558,172.37478926655547,OCO
17,248.1230936085154,244.8143741731217,SAI
18,253.65148412533335,249.39407588182223,SAI
19,116.30860600431633,116.4461503637397,OCO
20,188.91111781867681,188.02171800797885,SAI
21,199.38418361703134,198.14307692127662,SAI
22,231.90129528996334,221.28528903739348,SAI
23,264.24808092070174,258.3193834029588,SAI
24,284.8544864247619,277.7024842594713,SAI
25,293.78000128,288.28249983999996,SAI
