Minisector,STR,PER,Fastest
0,307.3824065777778,292.87877951238096,STR
1,325.176077934156,303.21833919655245,STR
2,336.87303915742297,306.35379073283207,STR
3,315.4351880888889,301.1798254035088,STR
4,165.04364309634755,172.6620399388529,PER
5,204.0990950659612,205.21205988064006,PER
6,234.46754834307066,227.97646323185884,STR
7,266.4909085090909,264.194202342029,STR
8,251.97490318975804,262.0397911307408,PER
9,162.0084658381101,161.11457683620884,STR
10,228.34489598536325,228.81482235581993,PER
11,130.0533715384988,129.99851925925924,STR
12,225.56970339268483,213.7712619431591,STR
13,187.15309250752688,184.26732081111683,STR
14,221.10234306174073,217.81656652490912,STR
15,243.09937933913042,236.4466075454648,STR
16,257.3794845846606,261.2125447478555,PER
17,283.974352576975,285.49666677333335,PER
18,122.53481333263494,122.55451931823819,PER
19,159.83683454074074,158.0690563682411,STR
20,144.77661310935628,149.62888034120127,PER
21,159.02479261120294,153.77261995982926,STR
22,117.10385030592808,117.39162476394857,PER
23,227.07273252693332,231.23271264280402,PER
24,270.08890631341995,273.0043671131823,PER
25,283.3374976,,STR
