Minisector,RAI,BOT,Fastest
0,308.40479175111113,297.0748188289855,RAI
1,254.91654167869717,252.0379326978751,RAI
2,204.1495007066052,197.75781442457756,RAI
3,267.26547479307476,266.3705698751781,RAI
4,236.36312486587738,233.07440533333332,RAI
5,121.28774007956196,122.81702406967906,BOT
6,176.63992254920512,180.23884664685716,BOT
7,257.9741112663548,259.130208,BOT
8,289.2022723393939,294.9479407102395,BOT
9,302.6401017078748,309.8762500266667,BOT
10,307.2693273261237,313.9480342176031,BOT
11,235.63422613665628,242.8038580148148,BOT
12,146.0290379088557,145.09256566735098,RAI
13,256.9600074355917,260.3886827294219,BOT
14,289.6422343757576,296.1519747455162,BOT
15,299.82062496,306.9775,BOT
16,297.2168651174603,301.11190466031746,BOT
17,260.84457464250164,269.0413043478261,BOT
18,179.25059471238094,183.14308529911153,BOT
19,189.9864413784979,195.91412718598764,BOT
20,185.30455970142899,176.06381115124933,RAI
21,247.09666756266665,248.83458106337548,BOT
22,128.59535573270475,128.45094224954994,RAI
23,204.38453547618005,192.3856597839081,RAI
24,278.62426105295236,277.14412901818184,RAI
25,,295.32500053333337,BOT
