Minisector,RUS,GAS,Fastest
0,317.4884799340606,321.4198529611861,GAS
1,323.44306045238096,327.01813632717085,GAS
2,164.02609091444225,160.42738094386885,RUS
3,151.7037485180952,157.6957107794217,GAS
4,200.87781706759057,195.42495768776013,RUS
5,150.76395642971428,143.04584899854342,RUS
6,201.11267230911568,187.94683942292207,RUS
7,272.5120345537255,270.4217858941414,RUS
8,291.76935216592597,293.16500008126985,GAS
9,280.29668304190477,289.2967892774623,GAS
10,229.5178835817143,237.4881145023293,GAS
11,232.46079496821082,236.68670993948427,GAS
12,216.11213653024154,216.1663441149271,GAS
13,177.12009993900836,183.54928164774603,GAS
14,133.37929741629628,125.87164688498083,RUS
15,132.74198361374636,127.03874558168778,RUS
16,192.92023347889307,184.76982679977414,RUS
17,268.15089172952383,266.0952127326316,RUS
18,191.98201449426128,219.30992967679998,GAS
19,112.20025302432676,109.48178219043874,RUS
20,202.71545651864733,192.25720182238783,RUS
21,186.66914149436624,174.10681791824177,RUS
22,245.19914958909808,241.5605720344498,RUS
23,275.4261378677618,276.43348276735037,GAS
24,303.37015721333336,303.4352135889798,GAS
25,313.51428571428573,315.36166698666665,GAS
