Minisector,VER,SAI,Fastest
0,275.56810115030146,292.87462777610125,SAI
1,143.45973793292805,139.80702419961267,VER
2,223.58888015075567,217.6428959830291,VER
3,281.5232665606455,281.68722959481687,SAI
4,306.57560476515846,309.6629553037242,SAI
5,298.6267479359569,304.4967985893128,SAI
6,155.39675422981853,154.01356436351958,VER
7,236.0252153436886,241.4901950639344,SAI
8,108.17962872997018,110.55167682543741,SAI
9,176.71752603886142,165.1285460854329,VER
10,275.7756633441223,277.40061939420195,SAI
11,298.2418541244784,297.97526623749366,VER
12,213.8246643355455,221.3067170569412,SAI
13,175.3640252404457,166.39978096873043,VER
14,279.10564770001054,276.1224658771475,VER
15,306.5428686075607,310.0718282878353,SAI
16,319.290989690086,323.95118545305485,SAI
17,324.244718756815,332.16750653391136,SAI
18,327.63277774222223,335.6706124621619,SAI
19,321.8625460894788,332.1239930057143,SAI
20,178.47371358459927,211.0020458151692,SAI
21,181.97923258552484,159.29211866795308,VER
22,278.5986068082347,272.8309939005018,VER
23,308.86440616699866,310.08946424747984,SAI
24,318.71971602194986,320.5387725360036,SAI
25,,317.59002762814896,SAI
