Minisector,RUS,SAI,Fastest
0,299.60312413617316,304.81765782588235,SAI
1,241.37285385315923,252.05483067029476,SAI
2,133.13253468753624,126.33874823819919,RUS
3,238.7424544349787,239.22700824130965,SAI
4,191.78291854319326,187.7102633707719,RUS
5,244.7704358335952,248.41959749549676,SAI
6,233.6843185158423,231.90819271657256,RUS
7,258.3252460732138,254.08393377645712,RUS
8,284.67109546971426,289.88341328761766,SAI
9,201.41189140270043,207.75549681962482,SAI
10,205.4654627545705,198.68408864420346,RUS
11,273.70366800022083,270.7999320480149,RUS
12,216.75180156495375,209.51958495142858,RUS
13,253.21759208067624,246.80769101418002,RUS
14,289.5134363105102,288.67997888487616,RUS
15,304.30806774724635,305.48579844697264,SAI
16,301.2450777023052,306.28371195151516,SAI
17,213.66952168276376,205.85423580372196,RUS
18,257.22493908544516,259.92816744671205,SAI
19,293.3458336646465,293.40875616253544,SAI
20,306.5690169204427,307.6660323090909,SAI
21,309.772886872381,309.97786809950935,SAI
22,151.84212546880036,153.60817579673235,SAI
23,231.39690095942652,228.8701161611296,RUS
24,280.9795109809778,286.6228032163634,SAI
25,,299.0,SAI
