Minisector,ALO,RIC,Fastest
0,293.87666282666663,297.37957144990474,RIC
1,158.771121954544,158.19422928881082,ALO
2,150.54781423074047,149.11906043333272,ALO
3,222.3687432775988,223.09986931960376,RIC
4,283.33659503542856,287.7651904121905,RIC
5,290.76433352533337,292.65972222222223,RIC
6,144.72494942012676,144.6847850644732,ALO
7,141.06778258857796,139.51048792990477,ALO
8,145.59658818358974,145.94108363070944,RIC
9,180.19499468902043,179.8081414768739,ALO
10,128.30786234862822,129.6232370803696,RIC
11,125.97644101812242,124.96388114782984,ALO
12,167.00983665500473,163.2318908377041,ALO
13,266.95178894528436,270.48145934109345,RIC
14,285.94947405300934,291.2647204136306,RIC
15,150.1083538012101,150.75224337127796,RIC
16,210.4664284952381,211.26547980351748,RIC
17,166.6611159783429,165.74966773444362,ALO
18,269.33297752879275,271.89102564102564,RIC
19,293.96683336533334,297.0235964693198,RIC
20,308.0400432900433,310.155753968254,RIC
21,316.77228271304347,318.0232410578976,RIC
22,319.6666666666667,319.81060606060606,RIC
23,323.14278337163506,321.6666666666667,ALO
24,315.39071975757577,320.4901041333333,RIC
25,312.3208330666667,317.6083349333333,RIC
