Minisector,VET,LEC,Fastest
0,307.4738847928345,311.8859382341931,LEC
1,237.80091041320534,240.28609259371024,LEC
2,144.49142817946864,133.50974953908616,VET
3,230.04720292583715,225.38441222707985,VET
4,268.18988916128774,267.79103108331174,VET
5,289.6084272338661,291.65904592806777,LEC
6,303.24236339621694,306.2221090337144,LEC
7,289.07619386359016,290.00179976162383,LEC
8,183.53160219737336,173.39669719187702,VET
9,241.95766700150585,240.6365614927671,VET
10,274.1775599613006,276.1907465753406,LEC
11,277.6618369901488,260.8148082106996,VET
12,219.9254866661742,202.43673452449033,VET
13,138.078896513175,130.57750192680112,VET
14,126.93873244656956,127.26257474296082,LEC
15,180.18973525675548,167.38334648246655,VET
16,124.88869480741899,124.67018828933045,VET
17,231.895532939048,232.0606646764032,LEC
18,210.8879002563015,195.27424237540126,VET
19,162.1650321065855,164.0464734686806,LEC
20,245.64114899019282,251.88575590702854,LEC
21,277.11285671746674,281.0984176440257,LEC
22,293.4507880723902,295.94810497560746,LEC
23,302.54123939562885,305.7714446318447,LEC
24,307.87564883311734,309.5062497544626,LEC
25,308.66250026666665,310.67083413333336,LEC
