Minisector,RIC,ALB,Fastest
0,259.6007450732198,249.80088751599618,RIC
1,134.24075709410226,132.0859452616367,RIC
2,266.68817613063936,265.77409309009136,RIC
3,308.55227448163265,305.94715106938776,RIC
4,307.11320810506777,304.3472700689655,RIC
5,314.7969135407407,311.9469708897544,RIC
6,320.3854356290268,316.74136902857146,RIC
7,319.0748845233057,318.73027455926194,RIC
8,199.33611779346631,195.31673034024473,RIC
9,200.24596849475682,198.02327337718077,RIC
10,182.84994605622103,173.37609751977175,RIC
11,167.99915695125796,169.6442081961609,ALB
12,254.0691193950655,255.35654994532865,ALB
13,274.19363372235085,274.09694018333334,RIC
14,277.1569958000481,278.37630310204275,ALB
15,272.3061206187657,260.27806462745093,RIC
16,189.93786569476592,186.76576789952074,RIC
17,196.53783074231535,190.39428605912445,RIC
18,246.23616130372966,246.45884486059668,ALB
19,290.8038192266667,288.51520409920187,RIC
20,313.4222731241308,309.3599745639491,RIC
21,320.3441358222222,315.1594055744021,RIC
22,317.99352746080876,308.77802796921736,RIC
23,264.6329544219336,215.62564307945865,RIC
24,116.19031692346978,117.29924797433684,ALB
