Minisector,RIC,LEC,Fastest
0,302.2159420753623,319.64185604848484,LEC
1,302.89903628480727,320.0890578961511,LEC
2,248.31543047901235,263.7733333333333,LEC
3,156.34823141897238,149.32084735451664,RIC
4,171.9032102970271,163.43579046153846,RIC
5,215.1360424711111,213.4516469231746,RIC
6,236.6452974947894,228.0642132078236,RIC
7,214.3147227022222,210.16202789622332,RIC
8,264.4634973415685,259.4133466393739,RIC
9,259.6518846655567,253.53408287266316,RIC
10,272.4916669681159,268.7218537698242,RIC
11,270.16324997333334,273.34474630724634,LEC
12,271.8332589650794,271.72145182456296,RIC
13,266.6383749228213,265.9907590263255,RIC
14,181.50707500843538,177.71557572932178,RIC
15,236.68593212175253,235.51823689909313,RIC
16,205.99741295714284,202.89149266912867,RIC
17,169.90585477600362,166.5222744781955,RIC
18,255.15288549743588,255.80258776420305,LEC
19,285.76875352273686,285.07653061224494,RIC
20,255.34887536410255,239.98296377151726,RIC
21,186.80977773699692,182.1380411012987,RIC
22,254.17786244102564,254.63706671805008,LEC
23,283.2230306409078,283.16066014199134,RIC
24,297.2001985523809,297.74640155151513,LEC
25,301.0,,RIC
