Minisector,ALO,PIA,Fastest
0,282.18631590232593,281.41193589589466,ALO
1,297.0589490836364,297.1509896133333,PIA
2,298.47161277423993,292.7499294309957,ALO
3,177.61957867059732,176.90728374419444,ALO
4,222.66220971594012,219.63944437239388,ALO
5,204.5413549015231,204.5053058970116,ALO
6,179.2010976650864,180.51226703915344,PIA
7,211.67803335336464,208.32452136382653,ALO
8,258.0583249601467,258.89326158611584,PIA
9,270.75780929041974,268.29596217683945,ALO
10,167.8085089680259,167.81478966879018,PIA
11,239.98823413238293,236.94653257624026,ALO
12,117.91005000314208,118.06805960680404,PIA
13,220.7814839590148,221.09038564407217,PIA
14,277.21309660428847,275.6520152478004,ALO
15,293.9441317031884,289.43691338632965,ALO
16,213.98994506853998,216.9336042682316,PIA
17,182.58564115153513,185.70835274370248,PIA
18,266.04025281320986,266.71872091365026,PIA
19,292.5053353703896,292.4411511205772,ALO
20,302.3859483829405,303.51819358061226,PIA
21,302.47864572221613,303.6582646035978,PIA
22,272.5695769280323,260.5569199219514,ALO
23,114.85681717275077,116.44933284004745,PIA
24,234.57466396455075,235.54151257905687,PIA
25,,267.2500032,PIA
