Minisector,STR,ALO,Fastest
0,294.47306807709094,295.1608776186855,ALO
1,222.01189827675424,205.57159297715967,STR
2,230.43120338189715,231.70621436695538,ALO
3,274.71839655251443,275.6912539758764,ALO
4,245.48642710915752,243.1329892340765,STR
5,128.66349141548213,127.51671543315058,STR
6,213.20351249293623,215.45538644590317,ALO
7,262.96838648838093,261.6223917464965,STR
8,247.41072933791247,249.36267893206352,ALO
9,241.4027669854384,243.2754226084061,ALO
10,275.7732094681905,276.82875981664813,ALO
11,291.86807680961675,291.5573032942341,STR
12,301.5787834055053,299.61241124631186,STR
13,305.37267205182184,303.0483135153439,STR
14,304.57102960941177,302.9041351111111,STR
15,252.03190895304348,254.42279926153847,ALO
16,246.21091970667004,248.79748025301106,ALO
17,282.2678967651371,281.8955721428496,STR
18,294.13693952827543,291.5239581637054,STR
19,153.92274334654655,170.11599290594836,ALO
20,208.93090979109553,216.02413435827054,ALO
21,182.58100323697778,186.25300235714286,ALO
22,147.65434966098042,147.2812211391557,STR
23,238.519650364943,243.02819058019088,ALO
24,282.46780210151877,283.19335609904766,ALO
