Minisector,VER,ALO,Fastest
0,251.29629748525866,249.58567172402118,VER
1,128.71066226556064,126.04566036892935,VER
2,261.0821107168017,258.15992659513756,VER
3,304.40940448220323,300.2549385052352,VER
4,304.9652300128139,303.901749607218,VER
5,313.52465146577686,311.1094878851282,VER
6,317.1074584323232,314.1936821387198,VER
7,319.1963668018775,308.1635119949206,VER
8,187.4656104308647,192.28034333045593,ALO
9,191.1444067946425,176.71952696621878,VER
10,185.54566778120702,183.71459307852712,VER
11,173.8884587026531,160.81745131123665,VER
12,255.75153580873564,243.6580187031746,VER
13,273.23707073618095,267.510112513536,VER
14,280.8701454002709,274.10244704169315,VER
15,280.4499729232423,265.21444282485095,VER
16,174.03806929349565,166.60225018243156,VER
17,183.93886940082854,170.70849830606252,VER
18,237.14734104541682,224.8465763732926,VER
19,282.2003995642051,277.6421820057631,VER
20,303.43260923573536,299.5171700923077,VER
21,309.50867274045856,305.30597076828406,VER
22,309.0869755845805,301.2628374278403,VER
23,242.00145202666752,251.3103137277528,ALO
24,115.61762170053584,105.22683336963782,VER
25,226.28140344738424,220.31677070977221,VER
