Minisector,RUS,NOR,Fastest
0,313.19795382671384,308.7430213422222,RUS
1,185.90813894954823,189.54582891032427,NOR
2,113.32973297478726,111.56317294618017,RUS
3,196.34892372156108,189.11771511343773,RUS
4,255.76882226748586,253.1882381439923,RUS
5,287.6775520950051,282.5428567695238,RUS
6,304.42838538095236,299.3022397696192,RUS
7,230.21673746919916,235.63603213561905,NOR
8,143.33029356611337,146.1280794784163,NOR
9,231.27135765386802,228.39055806048455,RUS
10,271.6127248082088,269.62490545015874,RUS
11,224.29164696899826,225.98010543264573,NOR
12,170.91540649548492,177.7790875629932,NOR
13,106.70171896084656,108.27121316318559,NOR
14,106.75429270553167,104.75752662193362,RUS
15,139.14595054607472,135.82889402487092,RUS
16,112.96383411255519,111.78247106365964,RUS
17,211.56171949482922,206.3317618583851,RUS
18,150.106114709963,162.29023210185056,NOR
19,144.72666630417578,147.6967231176407,NOR
20,244.34979069494952,240.75734199238065,RUS
21,276.4421293925926,273.6538430297643,RUS
22,295.0936612935245,291.2816954697143,RUS
23,306.312666432,302.41171971573687,RUS
24,312.4584490962963,308.30181799350373,RUS
