Minisector,VER,SAI,Fastest
0,277.5088783352092,279.72748651779284,SAI
1,241.8477544291957,241.6112927780246,VER
2,264.80592553823317,274.1283419143341,SAI
3,281.3579649008158,290.96949863851086,SAI
4,133.67244795003026,121.34469263622398,VER
5,211.9795670662673,212.52567219268005,SAI
6,268.31837621179517,274.02874325071554,SAI
7,287.6472222222222,305.7863401632364,SAI
8,296.28850768829705,321.94820205947724,SAI
9,298.52369707779656,328.77189901494586,SAI
10,280.05392156862746,290.6056563620944,SAI
11,106.19464345083912,96.57046441637486,VER
12,223.24342251838561,226.2379755971484,SAI
13,268.8189567997484,275.5278846516609,SAI
14,268.98267649122806,266.20679149689494,VER
15,135.28784441654886,125.32601463940436,VER
16,209.6988365305663,199.66144487513927,VER
17,257.631071711443,257.6228882066706,VER
18,257.5799420338555,254.30043901754385,VER
19,246.08893182288588,250.5732922145712,SAI
20,154.59263135537128,139.63369898771526,VER
21,198.47707131271633,198.31314878853377,VER
22,178.82554877583055,165.19716868875682,VER
23,195.7765801953674,193.915175754212,VER
24,251.12575314666137,255.58283016439285,SAI
25,268.46024980907094,,VER
