Minisector,HAD,LAW,Fastest
0,300.32273880380956,295.7699415047873,HAD
1,150.03458094093278,148.0673919912557,HAD
2,216.67130941701458,217.7247937337098,LAW
3,285.9031357962482,289.57169196856637,LAW
4,312.5105788464816,314.17998846003655,LAW
5,315.55188813333336,312.99777271725253,HAD
6,180.77028387858758,168.56938794164398,HAD
7,117.28690906338161,127.92050105910008,LAW
8,251.7435093832073,255.196352154976,LAW
9,293.3010666933333,296.18546870349377,LAW
10,298.2692815230075,295.63348187759954,HAD
11,138.10140636098197,128.92522676567697,HAD
12,172.0905773514359,183.77923266106677,LAW
13,241.8674131466062,251.04718880704928,LAW
14,180.53398173306718,175.71904692195605,HAD
15,196.87155237823688,201.86934208809404,LAW
16,195.5393928819625,189.63088012072723,HAD
17,233.21246422124742,232.85020872761908,HAD
18,279.471190292437,279.5686387822222,LAW
19,298.85434745747887,294.55310452287586,HAD
20,249.51165111862684,233.14515343399714,HAD
21,200.77526362453332,190.7546339394455,HAD
22,184.39924851435387,188.63824143064616,LAW
23,268.3073767170868,270.76139927218736,LAW
24,298.2789622177778,300.4747397,LAW
25,302.5687504,,HAD
