Minisector,LEC,NOR,Fastest
0,309.49783859248123,281.98204544000004,LEC
1,186.42458158311982,210.52967445681404,NOR
2,225.51593465569954,223.03976253226665,LEC
3,282.4652513201436,270.00107173206345,LEC
4,233.1491409192487,243.95247936147564,NOR
5,129.16583017956032,128.7339831925923,LEC
6,215.6983835900571,210.1553301486123,LEC
7,261.6006178502833,253.9665535177651,LEC
8,242.74040177177503,246.15594630338163,NOR
9,233.4922994589364,223.12864701020482,LEC
10,279.3007493787121,268.2660294772487,LEC
11,299.54034347750445,288.1308415847739,LEC
12,309.50907791040976,298.5074076557319,LEC
13,315.02505451896747,303.2729819152834,LEC
14,318.22076125483403,296.1655012939327,LEC
15,267.36924874089186,249.25371738169773,LEC
16,242.3589357482958,238.50526241104583,LEC
17,287.6776490448806,275.4514518062585,LEC
18,309.0666594488889,283.7982998164984,LEC
19,160.8164619024827,162.65548100571428,NOR
20,212.34005784305006,206.82573988540662,LEC
21,204.599891987269,202.50498067504762,LEC
22,138.85433032858862,134.22479620283187,LEC
23,237.54753590884764,230.3890746447617,LEC
24,279.91873456207793,274.2351285522384,LEC
25,290.7083338666667,285.2190479238095,LEC
