Minisector,VER,PER,Fastest
0,273.947953344708,286.40515393729436,PER
1,291.019815470183,310.9216185682967,PER
2,293.6747806877193,313.09457996190474,PER
3,130.62045619950626,125.15602165198332,VER
4,208.45948949976955,204.50630314779542,VER
5,256.27893631126193,261.6627587622605,PER
6,145.8979971920672,141.5958872693529,VER
7,215.34868005788624,208.73054560678128,VER
8,262.5533220450241,259.2956431030303,VER
9,278.42562358276643,282.36360074980325,PER
10,238.25543756516055,231.99313410980045,VER
11,180.64208451136304,175.0145344566768,VER
12,206.48581318914748,201.5363884063869,VER
13,147.94946427069982,136.37931067046776,VER
14,182.90410776231607,182.36839302603175,VER
15,170.6451434446747,166.74972476189026,VER
16,226.60509500621032,228.98369460869566,PER
17,235.0408841071217,234.5827577078911,VER
18,247.78403716017317,244.04721780503039,VER
19,234.25598787515085,216.07589439999998,VER
20,149.52346903368402,152.34049889968844,PER
21,135.11526342975137,127.94280519784859,VER
22,181.03250778870495,180.40819850322583,VER
23,156.53789693555404,153.77510354893874,VER
24,237.8038646148185,235.8325677046805,VER
