Minisector,STR,SAI,Fastest
0,306.25526416698415,306.1090291120558,STR
1,214.5958615379048,238.2649723265416,SAI
2,129.9356906500729,124.97754412441913,STR
3,215.50255067204924,212.89309858209515,STR
4,262.05582223765026,260.64234403026,STR
5,284.7042533434741,286.2528661033053,SAI
6,300.66321127529415,299.71031172661066,STR
7,267.7105825152951,286.5916964392808,SAI
8,167.31917824149224,169.94699469530377,SAI
9,237.89201747740262,234.70470705270003,STR
10,269.6315107156661,271.6692595437037,SAI
11,252.2335344206561,262.8830445890727,SAI
12,208.62872929502063,205.14093081081484,STR
13,129.06240620459886,111.44423420081145,STR
14,121.54091482287336,123.07552402800707,SAI
15,171.04650622108403,161.2551315390371,STR
16,127.17406416880671,127.38168051923816,SAI
17,229.0681630057825,225.01627007661375,STR
18,177.20778136423127,180.92897178496315,SAI
19,160.8457851372646,150.98545009182266,STR
20,244.9419630629665,242.35509656726745,STR
21,273.40023911942586,272.9458568001494,STR
22,290.3251814423903,288.9065297885522,STR
23,299.8893891128889,298.85928582453784,STR
24,303.07319123116883,302.7825000533333,STR
25,304.1727278545455,305.0,SAI
