Minisector,ALO,SAI,Fastest
0,277.6751625904762,278.79153640350734,SAI
1,293.04067464126985,295.4212498133333,SAI
2,241.11984024126983,234.27639957809978,ALO
3,112.62886405286187,112.62248621885252,ALO
4,133.6628560535243,132.6537937458986,ALO
5,251.05975668703397,248.5778038700355,ALO
6,244.8552084,254.3880767065645,SAI
7,125.0965627695732,122.76750556363679,ALO
8,248.45076728518052,247.4616392695652,ALO
9,264.4613815134199,255.29188588432962,ALO
10,209.67978382222222,207.97992622134646,ALO
11,142.7932268902027,143.98896206671753,SAI
12,212.23692719455784,206.2480995063411,ALO
13,262.08937943720133,262.24288443290044,SAI
14,116.06853695626822,118.97939139346855,SAI
15,194.20436580063492,189.67588682969082,ALO
16,257.99346038168494,255.6189393939394,ALO
17,285.9793156495238,286.8662059305004,SAI
18,299.67969934436087,300.36979162666665,SAI
19,303.1886203524232,305.9513158736842,SAI
20,304.91833333333335,309.79978060350874,SAI
21,160.97290991195527,172.0068545229503,SAI
22,151.12157054090633,141.495204884904,ALO
23,199.10349446881722,199.69773715909653,SAI
24,235.92236685776547,232.6666671111111,ALO
25,265.2625024,263.8367909276125,ALO
