Minisector,HAD,COL,Fastest
0,276.3257936507936,261.90235690235687,HAD
1,118.09218004218005,115.34019375933131,HAD
2,157.60149572649573,172.64164476673645,COL
3,203.7730303030303,204.33015010351966,COL
4,166.2355,162.58110705024248,HAD
5,239.28645181978516,242.15683621933624,COL
6,205.1676524099777,189.19957438776808,HAD
7,134.02660430839003,138.04441974285714,COL
8,239.50073353091352,237.5071761037037,HAD
9,283.18515625,290.75714285714287,COL
10,278.949452508276,282.212599471193,COL
11,151.273419131145,147.47654980199437,HAD
12,225.98000000000002,232.05133533292542,COL
13,276.39070751630004,279.9001736111111,COL
14,250.07198879551822,237.9835835058661,HAD
15,103.47280922466236,102.02781272640887,HAD
16,232.20677295407944,234.6146191475556,COL
17,290.46345512777776,297.334460152074,COL
18,313.746918767507,318.864455782313,COL
19,320.07261904761907,326.0487244897959,COL
20,313.5020685009705,328.9716904975238,COL
21,285.48058783321943,238.71641156462587,HAD
22,159.86909729061657,150.53085374570028,HAD
23,241.74427539289857,240.54583333333335,HAD
24,282.218492063492,283.9293862564104,COL
25,286.0,,HAD
