Minisector,HAM,HUL,Fastest
0,317.2037499352381,318.8785716825397,HUL
1,323.55041664,324.9902777481482,HUL
2,325.7548245333333,318.7718072322233,HAM
3,173.57364994800514,175.06022882265123,HUL
4,140.19400462414194,137.01320239407409,HAM
5,270.85117226748736,268.5664802029471,HAM
6,298.4028143768522,299.094444647619,HUL
7,309.88083322666665,305.8295635809524,HAM
8,261.88739051959413,260.61284568253967,HAM
9,163.580154059243,157.25865433456346,HAM
10,233.9430611569097,215.01249975172414,HAM
11,238.60569959267397,230.79636957897588,HAM
12,213.69454306933415,205.26896201693728,HAM
13,276.40731102709645,273.50359265783754,HAM
14,303.83757152701014,304.29101493696146,HUL
15,316.98564361539565,311.05119050158726,HAM
16,266.9102912380952,251.45887978057144,HAM
17,228.29019317650273,215.49981682349022,HAM
18,281.74477854199137,276.7394931478261,HAM
19,307.22073657182113,307.47779817912533,HUL
20,318.1139582933333,320.3579364910053,HUL
21,303.22297000731277,300.5751169538221,HAM
22,227.0838650473145,212.06405991429804,HAM
23,276.8112079070449,268.3535774425735,HAM
24,305.47192558701215,302.5771476405797,HAM
