Minisector,PIA,SAI,Fastest
0,275.3691249689297,277.210995002963,SAI
1,298.68489599343036,301.2312342095238,SAI
2,294.6264698150437,302.1008333866667,SAI
3,169.32393093007016,174.2084871397666,SAI
4,117.97110393509645,114.99169761111384,PIA
5,232.59246092326663,236.8621804245754,SAI
6,291.37575154349224,286.3926696153689,PIA
7,310.10615833162655,304.39797607064935,PIA
8,180.82211738769197,176.76019114632146,PIA
9,135.40103898359007,134.29716282208875,PIA
10,247.34881148354916,246.23387252443501,PIA
11,288.11094323620085,290.6063437418474,SAI
12,301.9477090875392,304.35892374518517,SAI
13,282.9140268071222,285.15947546314453,SAI
14,296.53151660773455,295.86307011929824,PIA
15,299.68818541945166,295.6015391755514,PIA
16,255.29022487487813,253.48336659479696,PIA
17,228.68463963978834,221.27032088620103,PIA
18,276.24069607120174,276.7579756365945,SAI
19,300.99782450701116,301.486138799822,SAI
20,306.01578815317316,309.95515375906433,SAI
21,224.67735526128212,227.5216683576087,SAI
22,257.42945472361714,257.99356584320003,SAI
23,128.34379049728537,131.94005928196478,SAI
24,212.1528738388758,203.05529735757807,PIA
25,256.22500160000004,255.8166656,PIA
