Minisector,STR,ALB,Fastest
0,297.8149891590329,302.0185558986114,ALB
1,306.8290818612245,315.6363948843537,ALB
2,312.7625001025641,323.4769233230769,ALB
3,313.6955782965987,327.96879741253963,ALB
4,203.30725846511524,221.32729358447835,ALB
5,94.57309253333334,96.39212432826052,ALB
6,196.36272777437037,195.993510770068,STR
7,254.901226227451,250.02747458349435,STR
8,282.708334,283.18316526346564,ALB
9,286.5452504910441,293.4436110933333,ALB
10,149.54688795202821,159.31352596048697,ALB
11,166.9013466588268,164.33132698989544,STR
12,239.99019708235295,232.34934293333333,STR
13,242.93200883809524,240.08275910407423,STR
14,147.41515867543347,153.67268756526354,ALB
15,205.08174775873016,202.0398548099773,STR
16,258.7328877714286,255.04858165298816,STR
17,282.2589367511235,276.6763024666667,STR
18,295.64920663365075,287.4313494857143,STR
19,299.6997221688889,294.5580557511111,STR
20,284.95838081652346,284.4132127739288,STR
21,147.86758580603873,152.62208330666667,ALB
22,201.81468464761903,202.2593644096287,ALB
23,257.7928615093756,252.7397061647059,STR
24,284.7636120888889,276.56250066666666,STR
25,,284.48333333333335,ALB
