Minisector,LEC,HUL,Fastest
0,267.2907635039946,274.6032697058655,HUL
1,298.36537701948964,298.1656743415873,LEC
2,313.453189170068,309.72153857833274,LEC
3,322.3552618096929,316.6711906336508,LEC
4,327.9624390116233,321.4767856761905,LEC
5,330.8773384272109,324.8015413322131,LEC
6,272.6520794074074,195.1411477111111,LEC
7,115.99221433355702,108.45142840610009,LEC
8,156.69574220949931,194.85602171499167,HUL
9,255.1919002666667,265.008015493778,HUL
10,292.1062506,291.96694442666666,LEC
11,246.3265340262782,158.55337509923453,LEC
12,94.4546058843215,100.23250180022346,HUL
13,113.59400389128919,122.58146346462962,HUL
14,219.79264565982515,221.50708211809524,HUL
15,190.73599906133336,187.0055220471014,LEC
16,219.9553809606643,224.05375039999998,HUL
17,195.37088217777776,175.01260863136704,LEC
18,223.332768816809,243.04610517156252,HUL
19,274.2870377481482,282.73958366666665,HUL
20,289.94944312888884,245.65572408593877,LEC
21,161.1359666839714,145.75870527142857,LEC
22,101.88767712498209,98.73559738436855,LEC
23,122.88070264225203,130.90553926341127,HUL
24,207.28962290202236,229.39904057714284,HUL
25,246.6625024,,LEC
