Minisector,LAW,OCO,Fastest
0,301.46618648161615,304.9174046997865,OCO
1,306.5884354176871,310.555923187671,OCO
2,294.3283710731208,295.09052153489176,OCO
3,171.6803833247711,169.3357811165553,LAW
4,213.15938296008466,210.75450210319016,LAW
5,196.1471343211687,190.0715217826287,LAW
6,175.1185844387998,172.67603106689276,LAW
7,199.8407406231186,201.8541812071768,OCO
8,255.13294573496594,252.9265513628048,LAW
9,261.14290384646466,246.99453466586374,LAW
10,167.27898969368164,169.64497291618605,OCO
11,230.8137773238251,231.48649576981856,OCO
12,125.60459243412345,120.87861171541206,LAW
13,232.1299218126749,240.84030607085714,OCO
14,275.02744866468834,278.59789624778114,OCO
15,273.1254244796687,275.0052682971429,OCO
16,202.52930008380952,193.28266712973544,LAW
17,188.72383793893877,195.01840938492137,OCO
18,285.5044078619322,292.6547169309091,OCO
19,317.3175104745743,327.8170645341596,OCO
20,325.7684438293207,333.4513824948148,OCO
21,303.1004816722655,306.31169547900225,OCO
22,263.0171433345653,258.1524614768369,LAW
23,122.2676795244321,122.77274236536225,OCO
24,245.62258486640155,251.77049684948003,OCO
25,287.5124992,,LAW
