Minisector,RUS,BOT,Fastest
0,318.03630268478054,316.1644002429052,RUS
1,328.43404613132833,325.2021963687619,RUS
2,328.20205620037194,322.45658109014073,RUS
3,187.29258256868482,189.82981070506028,BOT
4,126.0733040174544,120.87733748637532,RUS
5,263.29019682905056,262.6141516266667,RUS
6,300.6544013991342,297.03180141489275,RUS
7,314.1330128,311.6316230085125,RUS
8,267.48490005707004,279.968289947013,BOT
9,138.85128748018684,137.10552037540052,RUS
10,211.85126349871354,208.2186320382894,RUS
11,206.87507452527538,207.96163701713473,BOT
12,186.54075878565197,188.59923752477746,BOT
13,263.29435274352215,264.252947163175,BOT
14,301.7223735044156,300.35076753684206,RUS
15,313.90156633040414,314.06922221511115,BOT
16,264.51979444627375,252.77148875869364,RUS
17,208.08356771416035,204.25098954708164,RUS
18,270.1545586269553,268.9285332876929,RUS
19,308.4036684988988,303.929292,RUS
20,319.85662514726266,315.34040190623136,RUS
21,304.4281156791797,295.19562342183576,RUS
22,201.22956675917533,194.42086550578534,RUS
23,255.745977936734,263.21228740761904,BOT
24,300.2811744833016,299.3675936469642,RUS
25,,309.4875,BOT
