Minisector,VET,HAM,Fastest
0,261.01911767843137,261.9187505714286,HAM
1,132.28531639693148,140.71436333714286,HAM
2,191.64877778932862,201.5655453327967,HAM
3,244.0456582633053,247.22794139607845,HAM
4,259.88645833333334,259.6766666666667,VET
5,179.66720290470894,189.8086005452444,HAM
6,144.789594356261,155.73493534358974,HAM
7,179.13550759884058,192.12296260628182,HAM
8,103.07502919210222,106.21776267468671,HAM
9,79.25912927758979,79.31121126731364,HAM
10,93.49795096568472,100.00251392976445,HAM
11,177.08451546969638,184.3661544034632,HAM
12,243.2010274180858,248.1043157809524,HAM
13,268.3377777777778,269.95110200720643,HAM
14,280.07444444444445,278.2399995733333,VET
15,121.55565113356926,116.62746999887021,VET
16,134.82619058285715,154.78518605432097,HAM
17,194.43656749900646,192.16904772063492,VET
18,197.29444444444445,203.71924270884583,HAM
19,213.5428236383894,218.5516668266667,HAM
20,133.2057337190746,138.22964594558286,HAM
21,121.26589889840339,116.99047567238095,VET
22,91.39787026962964,96.63173811302566,HAM
23,193.8833847228147,198.283333384127,HAM
24,247.171568627451,251.00506017852507,HAM
25,259.6375008,,VET
