Minisector,PER,RUS,Fastest
0,322.7485512347826,320.594918602698,PER
1,332.7957520969697,329.05220159921834,PER
2,336.68856100705545,330.5951317621531,PER
3,194.08396490094933,193.30634314965778,PER
4,115.44310148218673,114.05010009980361,PER
5,265.8776974586886,264.5453748557908,PER
6,304.48386384926175,300.64271400228574,PER
7,320.1615896266137,307.79655800579707,PER
8,275.4667317250168,274.026235654321,PER
9,137.49577418244232,138.09286321583738,RUS
10,217.2739895426178,213.5010879938097,PER
11,209.7885450329181,205.958758012517,PER
12,192.4159125542496,188.32605622882946,PER
13,268.25301576601044,268.3108275692368,RUS
14,305.94317717755746,305.92616778418176,PER
15,325.98369581449276,322.83931144347827,PER
16,264.16038487477954,255.69894148035195,PER
17,191.4283987926126,192.2851354823186,RUS
18,267.9380570771329,264.4813814763792,PER
19,307.82844504463725,306.6772564888889,PER
20,325.2063404057971,321.8048466941455,PER
21,310.87467195038084,301.72150190933337,PER
22,201.86821452190475,198.31028719218378,PER
23,261.9857125447827,263.53749929876545,RUS
24,304.16793437681156,302.36768279305255,PER
25,316.5916650666667,,PER
