Minisector,ALO,BOT,Fastest
0,291.9605502650044,287.5964740166739,ALO
1,304.7357984355556,296.88587275174604,ALO
2,308.345553210084,294.2758991192397,ALO
3,182.79604762408238,186.04725828702794,BOT
4,206.49550046400873,204.31072307588792,ALO
5,198.4385023941243,207.72104783272388,BOT
6,264.6043624579827,261.2048496310135,ALO
7,255.33211558640411,252.87846545664726,ALO
8,200.01981007744757,200.41113966067826,BOT
9,207.56896488230225,211.53297257094985,BOT
10,137.1994820853047,134.0409489010406,ALO
11,208.77479799522715,207.25236568563233,ALO
12,171.40626991737219,176.27826526603394,BOT
13,246.21234434142167,243.16363303687564,ALO
14,172.10420075549914,175.73159957493195,BOT
15,235.62753041151805,225.83450751271707,ALO
16,275.88684070748303,272.91575648447997,ALO
17,272.73733773298704,274.3124088193407,BOT
18,263.406198002963,251.30460768866132,ALO
19,246.22192939835517,242.15163799533127,ALO
20,256.8149807056693,247.0923669034921,ALO
21,255.83857839307538,252.50665234112373,ALO
22,219.5513783336603,237.6059235899882,BOT
23,192.43776091578619,191.5380302571453,ALO
24,270.50964763229814,262.9046149034904,ALO
25,,278.74666624,BOT
