Minisector,PER,SAI,Fastest
0,298.8965482242157,296.40844899626666,PER
1,237.62630010677952,247.19283724065775,SAI
2,191.57249593997113,202.1483119281187,SAI
3,262.14178428279394,264.5734173861865,SAI
4,219.2848662512619,226.85165915558682,SAI
5,109.39415515431543,112.81646939970963,SAI
6,174.62902343645996,180.75567785193775,SAI
7,258.7211670042452,256.19715488525253,PER
8,293.17002371577513,287.984656116715,PER
9,308.6690031211362,303.1819605482668,PER
10,315.78444044419047,307.9557973702341,PER
11,222.82038472409567,242.3042884209203,SAI
12,137.7906194103592,141.27687069859087,SAI
13,254.05180110002425,249.39271876815994,PER
14,293.6065766145184,287.1848925368053,PER
15,306.4064655752804,300.0735921608834,PER
16,302.00153508771933,299.71413973631047,PER
17,253.0333413094231,268.4083574634667,SAI
18,178.8600014459966,190.93579393219989,SAI
19,169.99783153902573,194.4550824529063,SAI
20,174.50838492718728,166.16447519394956,PER
21,235.25429028647193,248.78380325684958,SAI
22,118.67777862467156,126.2190469050296,SAI
23,200.51585508916244,180.80464597416565,PER
24,277.43469787583547,271.26533036611636,PER
25,,290.15625040000003,SAI
