Minisector,PER,GAS,Fastest
0,260.94605365567963,260.6510051678161,PER
1,133.31294380422386,135.69468098743334,GAS
2,267.4036656370755,263.759756291047,PER
3,307.81217756825396,300.7727926031746,PER
4,306.4050000213333,296.0018890168761,PER
5,312.4574398218106,304.281333248,PER
6,315.24385881496,309.4361109777778,PER
7,311.31395793754547,310.40758115555553,PER
8,197.6156233390753,202.35206734182785,GAS
9,201.17407710841,200.57930792198,PER
10,178.93090027642612,179.55572867668414,GAS
11,164.9982869282115,168.95358470763946,GAS
12,256.3060263495241,253.01382869333332,PER
13,283.5182957390713,276.1936729283951,PER
14,278.21480039553444,275.0632589525118,PER
15,271.2842258377176,273.0656886802721,GAS
16,183.57479376984446,185.32314487165766,GAS
17,190.96719028917335,192.454055138569,GAS
18,244.76221248735632,239.8574731657363,PER
19,290.82793551480876,285.56707865787547,PER
20,312.50070230913144,304.3169260935747,PER
21,319.51444358029335,310.796499968,PER
22,318.6529266666667,309.47539682539684,PER
23,259.76668375491266,252.18028672387507,PER
24,115.24743140742893,116.59909782142857,GAS
25,232.7000064,,PER
