Minisector,ALO,GAS,Fastest
0,249.58567172402118,250.77221904598932,GAS
1,126.04566036892935,116.20985203554994,ALO
2,258.15992659513756,260.3638648455214,GAS
3,300.2549385052352,304.9894051558045,GAS
4,303.901749607218,308.0990963901876,GAS
5,311.1094878851282,319.35269282816427,GAS
6,314.1936821387198,332.65164666031257,GAS
7,308.1635119949206,336.08280436218297,GAS
8,192.28034333045593,177.7385556468479,ALO
9,177.93535192049276,174.34463437832946,ALO
10,180.58493405307257,171.86511969486676,ALO
11,161.9351731216174,164.92315907522428,GAS
12,243.6580187031746,247.26700839564475,GAS
13,267.510112513536,256.10902597402594,ALO
14,274.10244704169315,267.6533497353038,ALO
15,262.4139447964078,269.00743733632623,GAS
16,166.8237995490982,163.63335822137068,ALO
17,170.1647285039276,175.00191511467582,GAS
18,225.8223884769128,228.1399231270831,GAS
19,278.38786928599365,280.3632923146812,GAS
20,299.5171700923077,302.12332633245836,GAS
21,305.30597076828406,309.88958333333335,GAS
22,301.11452663566575,307.88602980773607,GAS
23,249.8954747498059,239.83275744457563,ALO
24,106.77891327770027,111.63228279361967,GAS
25,220.55279485328492,222.6785737142857,GAS
