Minisector,ALB,RIC,Fastest
0,295.70902746666667,310.9730911078402,RIC
1,304.51969692121213,327.33684557714287,RIC
2,273.8158121033571,289.995809052105,RIC
3,113.73756797111456,110.66917481858022,ALB
4,227.7359180505747,230.7286960551724,RIC
5,274.1211378151619,287.2233594702762,RIC
6,205.32512905050504,230.37638556444443,RIC
7,172.06509289194074,170.02538927863722,ALB
8,205.08583683034857,215.23575915295908,RIC
9,216.1380962064516,227.48627199472136,RIC
10,117.9300316723128,120.48409083980361,RIC
11,231.51150637979092,232.30154326334215,RIC
12,121.04875281719801,123.7243359968741,RIC
13,228.96034368735633,223.72725396459802,ALB
14,275.8906282412576,273.6720005546667,ALB
15,221.34516276989245,221.646145272551,RIC
16,198.3362348476105,197.93844306248914,ALB
17,255.80518054603175,252.145444014652,ALB
18,202.63717162700237,208.17284555234608,RIC
19,191.33846118991596,183.17165899582835,ALB
20,267.7140375527893,261.7244311711522,ALB
21,292.0159720888889,288.1269204537977,ALB
22,168.26485601256826,171.27962600224546,RIC
23,219.0605588645161,214.5974877792396,ALB
24,275.6034739429998,271.74730652270836,ALB
25,286.7,285.38472177777777,ALB
