Minisector,STR,HUL,Fastest
0,297.2372303470605,313.1845405401212,HUL
1,209.34275672454513,210.6330800558422,HUL
2,225.11109243956042,228.55476177191696,HUL
3,275.33324595070707,282.7920343612364,HUL
4,242.56484712695251,245.9236491798335,HUL
5,129.17466887174336,125.55748774761905,STR
6,215.65743582419756,210.34122720013852,STR
7,260.36811526402346,260.6374270815584,HUL
8,252.10431497281385,250.09482909496597,STR
9,237.67274647390946,239.92832504160367,HUL
10,274.525700429822,278.0663425066667,HUL
11,291.64676226449757,294.77147828726737,HUL
12,304.06505959619045,310.15741516663104,HUL
13,314.1774967906878,323.198695897284,HUL
14,316.7339777134802,324.99921044210527,HUL
15,261.4123943449205,253.30854936098766,STR
16,246.96896094126984,239.50024984319924,STR
17,282.3695129662467,282.64152240193937,HUL
18,301.2618340092517,304.75626125926465,HUL
19,153.67748910685748,163.24920205874722,HUL
20,214.34081016648204,205.47411315604398,STR
21,190.04881638234014,185.83048474320847,STR
22,140.43429446767678,135.7950624791048,STR
23,237.31282635497837,234.73853221917952,STR
24,278.5828581498182,292.7029764058145,HUL
25,292.04,308.6875003428571,HUL
