Minisector,PIA,ALO,Fastest
0,302.128556670295,301.24839945082965,PIA
1,237.52739036991454,228.43170851373696,PIA
2,126.78739370205129,129.7182762758869,ALO
3,236.30344317988107,233.975832183296,PIA
4,193.67421167389782,196.1591999122043,ALO
5,250.16349373088434,244.49207804470174,PIA
6,234.37433602153754,230.9082035058128,PIA
7,253.90082086095236,260.1962437396067,ALO
8,291.41839935464714,290.94608716441815,PIA
9,204.4622433401803,203.5604285168576,PIA
10,203.98679846373759,216.50645047206348,ALO
11,274.92345687515154,273.0461013818034,PIA
12,218.86932661469734,210.06343502157551,PIA
13,257.04772291746343,257.22203289231516,ALO
14,292.91717932068116,293.6810832382291,ALO
15,307.37201534406927,308.0526373436025,ALO
16,305.35221360949686,301.74241969322816,PIA
17,207.85528911238097,209.54749089182016,ALO
18,262.0441611052237,266.09233444812975,ALO
19,295.00649822877784,296.36510457142856,ALO
20,309.64888414451445,309.55154040835424,PIA
21,307.126313068323,307.34119431514176,ALO
22,149.76641914926316,145.98236184581114,PIA
23,233.62241292272964,238.86713817914315,ALO
24,286.12119175005347,287.20201779007715,ALO
25,297.39000064,,PIA
