Minisector,RUS,PIA,Fastest
0,253.81531598006566,253.06232700391536,RUS
1,214.63586353926655,206.02886315649647,RUS
2,207.01762549341964,203.22941095236658,RUS
3,255.58793473855073,260.6706580296414,PIA
4,268.9101728272965,277.10317562666665,PIA
5,289.3031996160983,290.2856469819883,PIA
6,162.58742055088786,157.43621763299095,RUS
7,185.67435141885056,186.33049795569556,PIA
8,266.86303631454706,271.894748059798,PIA
9,293.61215719896103,297.2614523273129,PIA
10,303.59301588825394,309.520735339085,PIA
11,306.1841921942857,308.33150788437763,PIA
12,115.57044055419857,108.28675850685019,RUS
13,194.63830932597702,195.617821269418,PIA
14,272.038943910559,272.32176832355555,PIA
15,295.3753288701754,298.7632834807017,PIA
16,301.8088645650872,300.3369905130827,RUS
17,186.75640531349862,177.37126904544326,RUS
18,217.7801582556539,220.16095539770453,PIA
19,269.5522232984127,269.01145535365083,RUS
20,145.31007878104106,156.2934536042828,PIA
21,142.25719694999356,144.37934783119292,PIA
22,217.41227807390476,225.9712227616919,PIA
23,226.18968083262456,217.05068177473015,RUS
24,156.74772667067884,160.94210451667215,PIA
25,226.62953098526467,,RUS
