Minisector,LEC,VET,Fastest
0,274.74245917460314,272.66372960575154,LEC
1,300.52107783529414,297.5304823017544,LEC
2,313.56923017772976,311.2374523432099,LEC
3,320.7252602666667,319.9839453719023,LEC
4,324.8073529098039,324.37968746666667,LEC
5,326.34557293333336,326.41822913333334,VET
6,225.53208668171828,211.38433428138362,LEC
7,107.23951883439015,106.31460196818833,LEC
8,176.72075165968255,182.92467715274347,VET
9,260.6449847703096,265.2037382155222,VET
10,291.8781941847464,293.5586522166346,VET
11,190.39211725714287,169.4435694999946,LEC
12,95.52669039588751,97.51915925227605,VET
13,111.61375296778115,118.30503614218767,VET
14,224.28780443818096,224.35145838493108,VET
15,186.37116402199567,189.10915967025755,VET
16,230.39621178874458,223.68542734462508,LEC
17,182.88867964460832,181.40781751249324,LEC
18,237.77380790995673,243.62456440601255,VET
19,279.6642573954985,282.55396825396826,VET
20,263.1916704,246.42033992464857,LEC
21,147.38200914057683,145.38890463096126,LEC
22,97.28495207894251,97.0248403531569,LEC
23,124.4275052580288,127.45930986325678,VET
24,224.14489533913752,232.03793297316017,VET
25,258.1166634666667,,LEC
