Minisector,OCO,HAM,Fastest
0,291.220987705679,296.38773448666666,HAM
1,233.42569867543267,227.37716747172072,OCO
2,128.54897235392937,132.22198395474837,HAM
3,230.7899152647288,229.64466074120438,OCO
4,191.66925960097961,189.4025660835324,OCO
5,244.97104344137298,238.7958517123664,OCO
6,229.26293631238096,224.04213114838709,OCO
7,248.68036600247345,257.6433712365333,HAM
8,277.7773001034432,285.4537233736752,HAM
9,214.0060055629118,201.87294112577416,OCO
10,204.4980911439557,204.43982159788382,OCO
11,264.83078652896967,269.5968764642199,HAM
12,208.10815484498318,205.62846637786353,OCO
13,245.8614412400657,244.57946119265307,OCO
14,288.49471326152513,285.2902586852321,OCO
15,299.2383171780117,301.2580499398337,HAM
16,294.7040002348052,303.4299603088849,HAM
17,233.5232475549912,232.09592358524864,OCO
18,264.566935851678,262.20580632937657,OCO
19,291.13400913049,291.39484596777265,HAM
20,302.601204416273,303.1731364830883,HAM
21,298.9510144941991,303.23173575506854,HAM
22,149.31850356975679,157.11201890289644,HAM
23,229.88560178779562,232.88478111216105,HAM
24,277.86378633227514,280.6803267221683,HAM
25,288.16875039999996,291.23333333333335,HAM
