Minisector,VET,LEC,Fastest
0,301.93532477069596,298.287396766994,VET
1,162.64772926635428,158.36096256155597,VET
2,152.69626717777777,153.36749079758138,LEC
3,223.70754980324452,221.8191571784089,VET
4,285.89562817289374,284.31159559314284,VET
5,291.1156010501841,296.6198717948718,LEC
6,146.27400684063068,148.8602196513777,LEC
7,141.7746078517862,140.31462340444705,VET
8,149.94258210736479,151.0499830856908,LEC
9,177.30859118771536,174.4733232454265,VET
10,133.64564573620208,134.45928434151784,LEC
11,126.9642085876666,128.68293496648852,LEC
12,165.31977112530856,158.66885184028467,VET
13,266.9412556952381,264.77246360653305,VET
14,286.4380663137562,292.31250018133335,LEC
15,152.31067237403533,157.81160634285715,LEC
16,212.21113216305054,215.93492589355742,LEC
17,169.0566552004066,162.19192078376813,VET
18,271.08037342020714,268.15585243942365,VET
19,295.47608369814253,291.78400008533333,VET
20,309.2220426722174,304.3590773012518,VET
21,317.10208329696974,311.0714079102943,VET
22,319.8366718873706,314.75277782222224,VET
23,321.82265924718325,317.5498130364326,VET
24,319.7486855047619,304.47095733968257,VET
25,,300.0,LEC
